case_id,r_m,web,design_variant,split_method,split_error_percent,nominal_load_fraction,load_fraction,face_layers_each_side,core_thickness_m,A66_N_per_m,A66h_N,equivalent_total_shear_range_N,face_shear_range_MPa,curve_C_MPa,curve_b,curve_source,face_damage_20y_proxy,face_status,core_shear_range_MPa,core_damage_20y,core_fatigue_status
b10_split_minus10,14.35,forward,fatigue_robust_final,stiffness_based,-10.0,0.49606240272152163,0.4464561624493695,5,0.06,119320000.0,191407126.42227527,224343.45020325202,6.1747036753670175,62.0,10.0,Conservative design envelope: C=62 MPa from MAT-002 static shear strength and b=10,0.002404557545492277,PASS,0.011512159394752065,6.432590116285025e-21,SOURCED_CURVE_PASS
b10_split_minus10,14.35,aft,fatigue_robust_final,stiffness_based,-10.0,0.5039375972784784,0.5535438375506305,6,0.06,142920000.0,194445793.2349457,224343.45020325202,7.536138483678728,62.0,10.0,Conservative design envelope: C=62 MPa from MAT-002 static shear strength and b=10,0.017634480628578805,PASS,0.014050427681434918,7.14005401219492e-20,SOURCED_CURVE_PASS
b10_split_plus10,14.35,forward,fatigue_robust_final,stiffness_based,10.0,0.49606240272152163,0.5456686429936738,5,0.06,119320000.0,191407126.42227527,224343.45020325202,7.5468600476707985,62.0,10.0,Conservative design envelope: C=62 MPa from MAT-002 static shear strength and b=10,0.01788697632612005,PASS,0.014070417038030303,7.263735170231248e-20,SOURCED_CURVE_PASS
b10_split_plus10,14.35,aft,fatigue_robust_final,stiffness_based,10.0,0.5039375972784784,0.4543313570063262,6,0.06,142920000.0,194445793.2349457,224343.45020325202,6.185425239359083,62.0,10.0,Conservative design envelope: C=62 MPa from MAT-002 static shear strength and b=10,0.002446637288150215,PASS,0.011532148751347443,6.568821382758406e-21,SOURCED_CURVE_PASS
b9_split_minus10,14.35,forward,fatigue_robust_final,stiffness_based,-10.0,0.49606240272152163,0.4464561624493695,5,0.06,119320000.0,191407126.42227527,224343.45020325202,6.1747036753670175,62.0,9.0,"Estimated conservative envelope: measured Saertex VU 90079 R=-1 C_shear=78 MPa, b=9.709 rounded down to C=62 MPa, b=9",0.017495713466822077,PASS,0.011512159394752065,6.432590116285025e-21,SOURCED_CURVE_PASS
b9_split_minus10,14.35,aft,fatigue_robust_final,stiffness_based,-10.0,0.5039375972784784,0.5535438375506305,6,0.06,142920000.0,194445793.2349457,224343.45020325202,7.536138483678728,62.0,9.0,"Estimated conservative envelope: measured Saertex VU 90079 R=-1 C_shear=78 MPa, b=9.709 rounded down to C=62 MPa, b=9",0.10512993744565419,PASS,0.014050427681434918,7.14005401219492e-20,SOURCED_CURVE_PASS
b9_split_plus10,14.35,forward,fatigue_robust_final,stiffness_based,10.0,0.49606240272152163,0.5456686429936738,5,0.06,119320000.0,191407126.42227527,224343.45020325202,7.5468600476707985,62.0,9.0,"Estimated conservative envelope: measured Saertex VU 90079 R=-1 C_shear=78 MPa, b=9.709 rounded down to C=62 MPa, b=9",0.10648372593296372,PASS,0.014070417038030303,7.263735170231248e-20,SOURCED_CURVE_PASS
b9_split_plus10,14.35,aft,fatigue_robust_final,stiffness_based,10.0,0.5039375972784784,0.4543313570063262,6,0.06,142920000.0,194445793.2349457,224343.45020325202,6.185425239359083,62.0,9.0,"Estimated conservative envelope: measured Saertex VU 90079 R=-1 C_shear=78 MPa, b=9.709 rounded down to C=62 MPa, b=9",0.017771031280144792,PASS,0.011532148751347443,6.568821382758406e-21,SOURCED_CURVE_PASS
nominal_b10_split0,18.45,forward,fatigue_robust_final,stiffness_based,0.0,0.49781018781505815,0.49781018781505815,5,0.06,119320000.0,183747251.8382465,212386.75711382105,6.789727882231178,62.0,10.0,Conservative design envelope: C=62 MPa from MAT-002 static shear strength and b=10,0.006214377899401847,PASS,0.012658814695685246,2.025441761566293e-20,SOURCED_CURVE_PASS
nominal_b10_split0,18.45,aft,fatigue_robust_final,stiffness_based,0.0,0.5021898121849419,0.5021898121849419,6,0.06,142920000.0,185363819.68227163,212386.75711382105,6.789727882231179,62.0,10.0,Conservative design envelope: C=62 MPa from MAT-002 static shear strength and b=10,0.006214377899401858,PASS,0.012658814695685248,2.0254417615662988e-20,SOURCED_CURVE_PASS
