forward_layers_each_side,aft_layers_each_side,core_thickness_m,spanwise_zones_per_web,max_adjacent_layer_step,estimated_web_material_mass_kg,max_nominal_split_imbalance,max_face_D20_all_cases,max_core_D20_all_cases,status,selected
5,4,0.05,1,0,3077.0598507741206,0.09893033969374243,5.247783332985095,1.3587191650528896e-17,FAIL,False
5,4,0.06,1,0,3219.8850935947175,0.09882091008796823,5.149973880929976,1.3248373970949285e-17,FAIL,False
5,4,0.08,1,0,3505.5355792359114,0.09860337583400214,4.960376354624607,1.2597873547895468e-17,FAIL,False
5,4,0.1,1,0,3791.1860648771058,0.09838759043691708,4.778506781796832,1.1981829893207646e-17,FAIL,False
5,5,0.05,1,0,3327.8281577199123,0.044921778583128014,1.7468247577831852,3.1039484497140477e-18,FAIL,False
5,5,0.06,1,0,3470.653400540509,0.04492177858312796,1.7180507549718222,3.035516394212582e-18,FAIL,False
5,5,0.08,1,0,3756.303886181704,0.04492177858312807,1.662069216371847,2.9035023882936245e-18,FAIL,False
5,5,0.1,1,0,4041.954371822898,0.04492177858312796,1.6081071499722077,2.777682541683843e-18,FAIL,False
5,6,0.05,1,0,3578.596464665705,0.052431930074991584,0.7034848667219512,9.156805682351848e-19,FAIL,False
5,6,0.06,1,0,3721.421707486302,0.05235652362450938,0.6928719334586165,8.971869107947785e-19,PASS,True
5,6,0.08,1,0,4007.072193127496,0.052206466302996524,0.6721756061558398,8.614013822728338e-19,PASS,False
5,6,0.1,1,0,4292.7226787686905,0.052057408036562,0.6521638978027928,8.271562654084247e-19,PASS,False
5,7,0.05,1,0,3829.364771611497,0.08989962447337296,0.33799951171083864,3.4234401428700173e-19,PASS,False
5,7,0.06,1,0,3972.1900144320934,0.08977298719747273,0.3332961128581552,3.3596513482219266e-19,PASS,False
5,7,0.08,1,0,4257.840500073288,0.08952087582441598,0.32410591250775916,3.2359008793885087e-19,PASS,False
5,7,0.1,1,0,4543.490985714483,0.08927030352154364,0.31519641445506,3.117070968667331e-19,PASS,False
5,8,0.05,1,0,4080.133078557289,0.12157876377215748,0.17161811112468553,1.37840125937578e-19,PASS,False
5,8,0.06,1,0,4222.958321377886,0.12141700233259689,0.16940196920438869,1.3545631876081205e-19,PASS,False
5,8,0.08,1,0,4508.60880701908,0.12109485096459394,0.1650644406048951,1.308215316077719e-19,PASS,False
5,8,0.1,1,0,4794.259292660275,0.12077451539394057,0.16084996369969148,1.2635797039084062e-19,PASS,False
5,9,0.05,1,0,4330.901385503081,0.14871460564300043,0.09137624173812471,5.915199628736598e-20,PASS,False
5,9,0.06,1,0,4473.726628323679,0.14852872804134465,0.09027555209101858,5.819760389378272e-20,PASS,False
5,9,0.08,1,0,4759.3771139648725,0.1481584362547938,0.08811809286432781,5.633846033497301e-20,PASS,False
5,9,0.1,1,0,5045.027599606066,0.14779008292243323,0.0860177708178402,5.454345424257356e-20,PASS,False
5,10,0.05,1,0,4581.669692448873,0.17221912677600032,0.05070199210289536,2.6829826448068057e-20,PASS,False
5,10,0.06,1,0,4724.49493526947,0.1720168144540749,0.050129699319054595,2.642413688115293e-20,PASS,False
5,10,0.08,1,0,5010.145420910665,0.17161367643449327,0.049006520404116405,2.5632542721595537e-20,PASS,False
5,10,0.1,1,0,5295.795906551859,0.17121250847252817,0.04791123342511168,2.4866561950312246e-20,PASS,False
5,11,0.05,1,0,4832.437999394666,0.1927755295586473,0.029169911537154092,1.2775086493669566e-20,PASS,False
5,11,0.06,1,0,4975.263242215262,0.19256223419632584,0.028860159257972022,1.2593335837227175e-20,PASS,False
